event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,name,score
http://www.kingstongrand.ca/events/brett-kissel-0,_:i3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Brett Kissel,49
http://www.kingstongrand.ca/events/ladysmith-black-mambazo-2025,_:i4,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Ladysmith Black Mambazo,49
http://www.kingstongrand.ca/events/red-hot-chilli-pipers,_:i5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Red Hot Chilli Pipers,49
http://www.kingstongrand.ca/events/cirque-kalabante2025,_:i6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Cirque Kalabanté   - Afrique en Cirque,49
http://www.kingstongrand.ca/events/pops3-symphonic-speedruns,_:i7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Symphonic Speedruns,49
http://www.kingstongrand.ca/events/classic-albums-live-rumours-0,_:i8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Classic Albums Live,49
http://www.kingstongrand.ca/events/unity-1918,_:i9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Unity (1918),49
http://www.kingstongrand.ca/events/bageshree-vazes-global-bollywood,_:j0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Bageshree Vaze's Global Bollywood,49
http://www.kingstongrand.ca/events/just-for-laughs-road-show-3,_:j1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Just for Laughs,49
http://www.kingstongrand.ca/events/mw7-ravel-festival,_:j2,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Ravel Festival,49
http://www.kingstongrand.ca/events/rapunzel-the-musical,_:j3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"""Rapunzel"" The Musical",49
http://www.kingstongrand.ca/events/theatre-kingston-2425-season-ticket,_:j4,12,8,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,50.0,Theatre Kingston 24/25 Season Ticket,28
http://www.kingstongrand.ca/events/susan-aglukark-with-special-guest-angela-amarualik,_:j5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Susan Aglukark with special guest Angela Amarualik,49
http://www.kingstongrand.ca/events/cantabile24_fantastic-beasts,_:j6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,FANTASTIC BEASTS,49
http://www.kingstongrand.ca/events/decrepitude-blues,_:j7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Decrepitude Blues,49
http://www.kingstongrand.ca/events/cantabile24_night-at-the-opera,_:j8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,NIGHT AT THE OPERA,49
